,descriptor,group,stat,p,m,table,score,metric
0,Product group,PSL,60.969141497392684,5.797647973530782e-15,0.0,"[[  23  469]
 [  34 4695]]",1.4782608695652173,Uptime
1,Line,E28,87.35591876699984,9.064846212238154e-21,0.0,"[[  33  459]
 [  50 4679]]",1.5151515151515151,Uptime
2,Line,E26,80.30020171662522,3.2163623582312583e-19,0.0,"[[  70  422]
 [ 213 4516]]",3.0428571428571427,Uptime
3,Product group,Shrink Sleeve,44.09793704190095,3.1234995778603397e-11,0.0,"[[ 232  260]
 [1522 3207]]",6.560344827586207,Uptime
4,Line,E27,7.36739172324418,0.006641720060490277,0.0,"[[  88  404]
 [ 631 4098]]",7.170454545454546,Uptime
5,Line,K18,7.7994451205955375,0.005226228092059952,0.0,"[[  69  423]
 [ 913 3816]]",13.231884057971016,Uptime
6,Line,K17,6.898660103694412,0.008626037561261927,0.0,"[[  28  464]
 [ 443 4286]]",15.821428571428573,Uptime
7,Product group,Cards Overlay,7.502826193162409,0.006160224804336627,0.0,"[[  19  473]
 [ 344 4385]]",18.105263157894736,Uptime
8,Product group,Dec. Surfaces/others,49.903830738788116,1.6146910746725062e-12,0.0,"[[  72  420]
 [1411 3318]]",19.59722222222221,Uptime
9,Line,K40,48.941238443782304,2.637467625044979e-12,0.0,"[[  59  433]
 [1252 3477]]",21.220338983050848,Uptime
10,Product group,PSL,51.72246395271819,6.392712733315232e-13,1148.6589217003402,"[[   1 2610]
 [  56 2555]]",-56.0,Rate
11,Line,E28,74.48509273521407,6.109789170138891e-18,1148.6589217003402,"[[   2 2609]
 [  81 2530]]",-40.5,Rate
12,Product group,Cards Overlay,235.4407106859725,3.8803699641705916e-53,1148.6589217003402,"[[  40 2571]
 [ 323 2288]]",-8.075,Rate
13,Product group,Dec. Surfaces/others,716.0992537877347,9.437823990069518e-158,1148.6589217003402,"[[ 305 2306]
 [1178 1433]]",-3.862295081967213,Rate
14,Line,E26,94.13728971642736,2.9438088757474063e-22,1148.6589217003402,"[[  62 2549]
 [ 222 2389]]",-3.580645161290323,Rate
15,Line,K40,427.65777449861235,5.256254951133302e-95,1148.6589217003402,"[[ 331 2280]
 [ 980 1631]]",-2.960725075528701,Rate
16,Product group,Cards Core,130.69588995947123,2.885994736787162e-30,1148.6589217003402,"[[ 182 2429]
 [ 453 2158]]",-2.4890109890109895,Rate
17,Line,K10,136.09224503814923,1.9047293385714703e-31,1148.6589217003402,"[[ 203 2408]
 [ 490 2121]]",-2.413793103448276,Rate
18,Line,K18,31.706899185336052,1.7928417260725004e-08,1148.6589217003402,"[[ 411 2200]
 [ 571 2040]]",-1.3892944038929442,Rate
19,Shift,A,8.915969699973864,0.002826876703070741,1148.6589217003402,"[[ 865 1746]
 [ 969 1642]]",-1.1202312138728323,Rate
20,Product group,Shrink Sleeve,704.469670815676,3.189695662907631e-155,1148.6589217003402,"[[1331 1280]
 [ 424 2187]]",3.1391509433962264,Rate
21,Product group,Tape,186.0882500171205,2.2710529729744222e-42,1148.6589217003402,"[[ 381 2230]
 [  96 2515]]",3.96875,Rate
22,Line,K17,196.25779978826668,1.3693090746349904e-44,1148.6589217003402,"[[ 381 2230]
 [  90 2521]]",4.233333333333333,Rate
23,Product group,Construction,128.06871303016285,1.0842352605159828e-29,1148.6589217003402,"[[ 245 2366]
 [  54 2557]]",4.537037037037037,Rate
24,Line,K06,367.61751056910936,6.179315550716092e-82,1148.6589217003402,"[[ 573 2038]
 [ 106 2505]]",5.40566037735849,Rate
25,Line,E27,535.119770871343,2.173326187257798e-118,1148.6589217003402,"[[ 648 1963]
 [  71 2540]]",9.126760563380284,Rate
26,Product group,Cooling Tower,73.26685339250359,1.1325398122847145e-17,1148.6589217003402,"[[ 102 2509]
 [  11 2600]]",9.272727272727273,Rate
27,Product group,PSL,47.962525962260806,4.3444371593929416e-12,0.9718282093227844,"[[   2 2607]
 [  55 2554]]",-27.5,Yield
28,Line,E28,38.39384333829965,5.781450122696047e-10,0.9718282093227844,"[[  13 2596]
 [  70 2539]]",-5.384615384615384,Yield
29,Line,E26,71.94757988547417,2.2099063648966205e-17,0.9718282093227844,"[[  72 2537]
 [ 212 2397]]",-2.9444444444444446,Yield
30,Product group,Cards Core,122.30697433398848,1.9774767262839694e-28,0.9718282093227844,"[[ 186 2423]
 [ 448 2161]]",-2.4086021505376345,Yield
31,Line,K40,191.09706493628258,1.8317618148655966e-43,0.9718282093227844,"[[ 438 2171]
 [ 872 1737]]",-1.990867579908676,Yield
32,Line,K10,75.58622180388709,3.497938936584445e-18,0.9718282093227844,"[[ 239 2370]
 [ 453 2156]]",-1.8953974895397487,Yield
33,Product group,Dec. Surfaces/others,175.066699393435,5.789502723887856e-40,0.9718282093227844,"[[ 525 2084]
 [ 957 1652]]",-1.822857142857143,Yield
34,Shift,A,17.192794174136548,3.377149255811831e-05,0.9718282093227844,"[[ 845 1764]
 [ 989 1620]]",-1.1704142011834322,Yield
35,Shift,C,7.043684644644097,0.007954521939952882,0.9718282093227844,"[[ 865 1744]
 [ 775 1834]]",1.1161290322580646,Yield
36,Product group,Tape,10.669241997526372,0.0010893174769070124,0.9718282093227844,"[[ 273 2336]
 [ 204 2405]]",1.338235294117647,Yield
37,Line,K17,12.77989764012314,0.000350364100496222,0.9718282093227844,"[[ 273 2336]
 [ 198 2411]]",1.3787878787878791,Yield
38,Line,K06,24.38016327809937,7.90787894527041e-07,0.9718282093227844,"[[ 400 2209]
 [ 279 2330]]",1.4336917562724014,Yield
39,Product group,Cards Overlay,29.607941601200658,5.288780739142765e-08,0.9718282093227844,"[[ 232 2377]
 [ 131 2478]]",1.7709923664122138,Yield
40,Product group,Shrink Sleeve,287.90799814873816,1.4203330117628864e-64,0.9718282093227844,"[[1167 1442]
 [ 587 2022]]",1.9880749574105625,Yield
41,Line,E27,598.9653537604459,2.8108854213519662e-132,0.9718282093227844,"[[ 664 1945]
 [  54 2555]]",12.296296296296294,Yield
